t,x,x_dot,theta,theta_dot,u
0.0,0.0,0.0,0.1,0.0,-7.371387386246927
0.01,-0.0006525979834739081,-0.07361537304334512,0.09294251842815816,-0.7028815660741248,-0.03270449848589507
0.02,-0.0014593827801564164,-0.08746544440331416,0.08605114811513236,-0.6745270376416393,-0.034707919085436245
0.03,-0.0023991006811798885,-0.10016886041872865,0.07943637035260734,-0.6470450971341614,-0.033277080832914585
0.04,-0.00346025177244889,-0.11181103467848678,0.07309297019786182,-0.6208866182924463,-0.02404912861528974
0.05,-0.004631858332406775,-0.12234081054037985,0.06701531320764256,-0.5948074101450795,-0.01964640419245889
0.06,-0.00590340463164903,-0.13188026813445064,0.06119797557720545,-0.5697411477785718,-0.010825247295581875
0.07,-0.00726488697175781,-0.14033528031787781,0.05563499327296509,-0.5439315749699181,-0.015309210014279984
0.08,-0.008706726704380417,-0.14787298287150438,0.05032082131296751,-0.5189011566988724,-0.017914141518874604
0.09,-0.010219820916074467,-0.1545266634295838,0.045249569986939873,-0.49451236754731664,-0.020092746334511524
0.1,-0.011795499043677752,-0.16039589769831294,0.0404154150837019,-0.4714695778160766,-0.01483721176042696
0.11,-0.013425539678933755,-0.1654651219040797,0.035812254223434446,-0.4490513324007389,-0.009429121108256222
0.12,-0.015102139421748071,-0.16972568504396565,0.031433961384642134,-0.42663611693207515,-0.010134184996126727
0.13,-0.016817878995727807,-0.17331517124211404,0.02727467475892928,-0.405443971614732,-0.004731627967931029
0.14,-0.018565764724242033,-0.17617950477466435,0.023328141990102833,-0.38431282676840195,-0.004885484646007576
0.15,-0.020339165847650473,-0.17839492127505902,0.01958836707562713,-0.3637231853837723,-0.005770859928792671
0.16,-0.02213182774748842,-0.18000950648530295,0.016049308353024767,-0.3438173413099367,-0.0059452339994130465
0.17,-0.02393785881673253,-0.18105206632390097,0.01270490608149889,-0.3245102271811241,-0.006237124694979723
0.18,-0.025751710448561796,-0.18158510655744137,0.009549196439478096,-0.3061516134886795,-0.003103733312817103
0.19,-0.027568181430688576,-0.18160386695124586,0.006576121060288954,-0.28826395725817555,-0.0012930902592149796
0.2,-0.029382387162307334,-0.18115885844118138,0.0037797770959694787,-0.2710740349615742,0.0015202503715785465
0.21,-0.03118976120437304,-0.18027441811664852,0.0011542641061003459,-0.2544947658577201,0.004520591655590267
0.22,-0.03298604469100232,-0.178945016063489,-0.0013063161500535944,-0.23807892240997103,0.003286183960250433
0.23,-0.03476726067450477,-0.17722792526703426,-0.0036076702640949355,-0.22217737031083618,0.0014078260264761278
0.24,-0.03652971380307584,-0.17517645837842682,-0.005755438914299395,-0.20710436887631345,0.002114897377175372
0.25,-0.03826998466161626,-0.17280807073017404,-0.007755254278691584,-0.19273868889752957,0.0042734047609254144
0.26,-0.039984914674879746,-0.1701333548011129,-0.009612677739520584,-0.17888586586096955,0.006019536695533234
0.27,-0.04167159370293867,-0.16716915108723726,-0.011333169389870437,-0.16544189614353907,0.0064013713854310095
0.28,-0.04332734826281478,-0.16394890435939014,-0.012922063410516119,-0.15252249036108695,0.006675083203520171
0.29,-0.0449497342633501,-0.16050568575780802,-0.01438459781064445,-0.14025063872239457,0.008173453563381283
0.3,-0.046536534833312306,-0.15682424152956306,-0.01572600569662463,-0.12815699911917808,0.006290350667796374
0.31,-0.0480857318098784,-0.15296117311612337,-0.016951275079036324,-0.11668193163411099,0.005548331350023417
0.32,-0.04959551332645827,-0.1489378272854104,-0.01806535764096381,-0.10583638622742524,0.006164703696838969
0.33,-0.05106425910996179,-0.14477572108592282,-0.019073096529468585,-0.09564448006504854,0.008490997780558951
0.34,-0.05249053576672012,-0.14047008463590668,-0.019979276610064444,-0.08581253855833378,0.009692562417145889
0.35000000000000003,-0.053873081509924155,-0.1360316683652847,-0.020788540298312726,-0.07625144268573411,0.008988297921301291
0.36,-0.055210796263929704,-0.13149590210830148,-0.02150536812327388,-0.06719086866924127,0.00879638761737711
0.37,-0.056502741098319785,-0.126874379275909,-0.022134173402593018,-0.05857258425706086,0.008647750627237771
0.38,-0.05774812540340426,-0.12218539748836729,-0.0226792411483643,-0.050431954074587886,0.009012934743810153
0.39,-0.058946302485325924,-0.1174325963175864,-0.023144769662927073,-0.04263065355059585,0.00862053721056566
0.4,-0.06009675555010886,-0.11264588627726309,-0.02353478942624251,-0.0353680267038651,0.009586767625658243
0.41000000000000003,-0.06119909965989759,-0.10782263909380825,-0.023853279058772513,-0.028445702347109705,0.01003807619679642
0.42,-0.06225306759850709,-0.10297219938719099,-0.024104077568121746,-0.021823735056935953,0.009689994975508487
0.43,-0.06325850340585189,-0.09811323330485641,-0.02429088987693265,-0.015587205094796426,0.009511887741447067
0.44,-0.06421535856585234,-0.09325566923752185,-0.02441732294479307,-0.009720219045059169,0.009459612190507505
0.45,-0.06512368400826962,-0.08841053680346939,-0.024486866999089484,-0.004228641942454678,0.009706566503285385
0.46,-0.06598362513802239,-0.08358200549368675,-0.02450291205837892,0.0009596745393606726,0.00964265258249819
0.47000000000000003,-0.06679541358449351,-0.07878155610008138,-0.024468720921444368,0.005818000659011374,0.009648655171536014
0.48,-0.06755936331720866,-0.07401584194876525,-0.02438745422297846,0.010372714238313787,0.009571432682181635
0.49,-0.0682758641300926,-0.06929254209554583,-0.024262160106734786,0.014630382978644177,0.009455282608926474
0.5,-0.06894537665790514,-0.06461781848413053,-0.02409578058811448,0.018609795029640667,0.009220506373315507
0.51,-0.06956842681751378,-0.05999870391843917,-0.02389114829358654,0.022312350975728604,0.008960323771747714
0.52,-0.07014560126991579,-0.05544029267663595,-0.023650993557760173,0.025757419870034534,0.008586095973097008
0.53,-0.0706775412546481,-0.05095448506517718,-0.02337792880745611,0.028873266695411987,0.008921422418453062
0.54,-0.07116494131842475,-0.0465389583688003,-0.023074491792348602,0.031760148256791784,0.009062760707428508
0.55,-0.07160854139147901,-0.0421994689239136,-0.02274310336783353,0.03441176310290675,0.00917368880243119
0.56,-0.07200912469626201,-0.03793639182205809,-0.02238609592883125,0.036883729533414636,0.008794719285233343
0.5700000000000001,-0.07236751163713516,-0.03375786566927958,-0.022005689393023265,0.03912949434753469,0.00848935861313449
0.58,-0.07268455768024086,-0.029668792434049105,-0.02160401489146796,0.041138050359396425,0.008462515623679057
0.59,-0.0729611507220737,-0.02566417621957378,-0.021183129941594072,0.04301741262022576,0.0077230493691986535
0.6,-0.07319820319988862,-0.02175683853464092,-0.02074496581128685,0.04464838146425532,0.00755708043974157
0.61,-0.07339665415706055,-0.017943134050645324,-0.020291397284818845,0.04611329921135189,0.0072267977084182755
0.62,-0.07355746174414843,-0.014230262363657072,-0.019824190885209463,0.047354847795815676,0.00739327561382086
0.63,-0.07368160359873796,-0.01061467624014833,-0.019345049639847126,0.04844613903398505,0.00740698716346011
0.64,-0.07377007084499305,-0.007101867081402753,-0.018855576197725273,0.04934358196019273,0.00778695159771936
0.65,-0.07382386937804299,-0.0036809549095660776,-0.01835732516146297,0.0502046919833988,0.00703255511233436
0.66,-0.0738440111703252,-0.00036338766777091903,-0.017851728895343037,0.05090452426318416,0.006474544246266034
0.67,-0.07383151719752265,0.002851062134977768,-0.017340166830014884,0.05146089050694751,0.00600937310244587
0.68,-0.07378741303275814,0.005961004959948743,-0.016823941419554646,0.05186836983376691,0.005764360085767306
0.6900000000000001,-0.07371272702810826,0.008965693368653455,-0.016304284788633418,0.05212671077801082,0.005812773093574697
0.7000000000000001,-0.07360848896004045,0.011869411039385032,-0.015782369575882964,0.05229585216132333,0.005621885443401142
0.71,-0.07347572591046078,0.014667571962692512,-0.015259283667866694,0.052322315073542305,0.005794573426594729
0.72,-0.07331546343072853,0.0173655225029565,-0.014736069464492381,0.0522743781567926,0.005710121953545588
0.73,-0.07312872112032245,0.019961239417514487,-0.014213691869183916,0.052125945040354546,0.005692421791718083
0.74,-0.07291651359949124,0.02246148517140652,-0.013693072293899452,0.051958625573046514,0.004982770513957846
0.75,-0.07267984563683424,0.024860265021931092,-0.013175048237263782,0.051692581832394176,0.004439970250438102
0.76,-0.07241971360735164,0.027156722538248017,-0.01266041067766633,0.0513103526898392,0.004295010507731595
0.77,-0.07213710373907647,0.029352066058830978,-0.012149900053283182,0.050818559033639285,0.004535257869047488
0.78,-0.07183299135008288,0.03145216158423958,-0.011644213397384634,0.05028043529735451,0.004578138722887565
0.79,-0.07150833826328643,0.033458002776173446,-0.011143987516448368,0.04969681949718753,0.004465043768366289
0.8,-0.07116409194367103,0.03536653072560106,-0.010649802563606934,0.04901651170860653,0.004757447606914295
0.81,-0.07080118816647273,0.037193280385718674,-0.010162228657833882,0.04841946305659956,0.003696073560895012
0.8200000000000001,-0.07042054254166866,0.03892393655651065,-0.009681732157600586,0.0477113248589028,0.003274635645901164
0.8300000000000001,-0.07002305811562161,0.04056722021708882,-0.009208781893691537,0.04698463005218497,0.002607095846746812
0.84,-0.06960961855812797,0.042116012122993395,-0.008743774253484222,0.04613292989619639,0.0028017406547598336
0.85,-0.06918109257079602,0.043579095659709466,-0.008287097608115314,0.04524767232465593,0.002979851604331493
0.86,-0.06873832999200279,0.04495988262007524,-0.007839092061454417,0.044352359197450765,0.0029426014248034454
0.87,-0.06828216158078651,0.04625803024997787,-0.007400054340034838,0.043422842172555876,0.0029674916068939683
0.88,-0.06781340011201788,0.047478973915937396,-0.00697025826602222,0.042506560654784045,0.002612232423581884
0.89,-0.06733283792925858,0.04862065498483649,-0.0065499301800627414,0.0415567146330056,0.0023783134729042366
0.9,-0.06684124911774314,0.04968915790448546,-0.006139281381221523,0.040627800983731574,0.0017494815967980804
0.91,-0.06633938602279896,0.05067820144245334,-0.005738469184989868,0.03961932073467775,0.001762836250210481
0.92,-0.06582798286702853,0.051593272703275996,-0.005347646051176957,0.03857752080063438,0.0019818858697811526
0.93,-0.0653077542021061,0.052442747928197496,-0.004966943512411859,0.03758446488598272,0.001609397811249469
0.9400000000000001,-0.06477939170299414,0.053218232689644,-0.004596434783597458,0.036512342858664996,0.0019521366482195823
0.9500000000000001,-0.0642435700575633,0.053932239746670836,-0.004236210496967585,0.03549450179597592,0.001695659515138781
0.96,-0.06370094106488176,0.05458093730513983,-0.003886306507783224,0.034459848809237525,0.0015750925754399736
0.97,-0.0631521378039038,0.055170440391393405,-0.003546757073587969,0.03346154431601704,0.0010778170579298085
0.98,-0.06259777150519111,0.055696666434088396,-0.0032175563425667847,0.0324252418166283,0.0009690952817423271
0.99,-0.0620384347674439,0.056165167043620394,-0.0028986987021210288,0.03139703019749986,0.000804826278972326
1.0,-0.06147469917352363,0.05657529577158034,-0.002590148697372033,0.030345570623849027,0.0009164909631225182
1.01,-0.06090711702513137,0.05693027963984153,-0.0022918620359621143,0.029288029801386763,0.0011478660929691298
1.02,-0.06033622142713597,0.057236669947370034,-0.0020037855914288457,0.02828325098337481,0.0009235700068819241
1.03,-0.059762524608051114,0.05749246561599381,-0.0017258350107513729,0.027283328526155306,0.0007380621751573724
1.04,-0.05918652027856508,0.05770066613573142,-0.0014579224737784995,0.026303051916271806,0.0004558683343028891
1.05,-0.05860868290540737,0.05786315473713861,-0.0011999455927401207,0.025343474032526143,7.835904301900509e-05
1.06,-0.05802946785830718,0.057979988337842674,-0.0009517869458608302,0.024383062326071136,-0.00016744450152239576
1.07,-0.05744931147784798,0.05804807399864232,-0.0007133123635356858,0.02336117927067067,0.0003368852429009861
1.08,-0.05686863405316279,0.05807817177193629,-0.0004844053492452306,0.022390642027774216,0.00046888130708755416
1.09,-0.0562878365554681,0.05807225802176544,-0.00026492322889469364,0.021474783329222376,0.0002035800103473706
1.1,-0.05570730160252252,0.05802760053014657,-5.4705986453334184e-05,0.020558409745325783,0.00010235682433656912
1.11,-0.05512739557961009,0.057948082834447336,0.0001464006265238153,0.01966937410838134,-0.00010725327478622315
1.12,-0.054548467374393374,0.05783401589035558,0.0003385644739642031,0.018791236330064777,-0.00025409334842796394
1.1300000000000001,-0.053970849409558326,0.057686443141885924,0.0005219578452133737,0.017917091230752757,-0.0002633374360307972
1.1400000000000001,-0.05339485821011749,0.057508446650015796,0.0006967542156285432,0.01706590786977322,-0.00032037055993405783
1.1500000000000001,-0.05282079401194487,0.057300336386877614,0.0008631371108360427,0.016222406564316158,-0.0002676218802794006
1.16,-0.0522489419893103,0.05706505536259191,0.0010212888381985826,0.015404633149969038,-0.00028242012653456605
1.17,-0.05167957171622186,0.05680236747051134,0.0011714013871247477,0.014591315117464214,-0.00014822246658574567
1.18,-0.05111293903470971,0.05651826402377605,0.0013136573209231006,0.013839451206861525,-0.00043421074790161995
1.19,-0.050549284051035245,0.05620982764389051,0.001448259136132415,0.013095114990849973,-0.00059730069560604
1.2,-0.04998883377304229,0.05587947604562092,0.0015754006619479986,0.012371508096289315,-0.0007682932078761917
1.21,-0.049431801276403335,0.05552721328362054,0.0016952818924226647,0.011652104086091393,-0.0007802160809274872
1.22,-0.04887838662032083,0.05515395689941212,0.0018081019836854826,0.01093224086276209,-0.0005855417257810691
1.23,-0.04832877755202062,0.05476352800663148,0.00191405491478779,0.010243998752435677,-0.0005057324831684307
1.24,-0.047783149031017505,0.05435717148771133,0.002013339915725245,0.00958770355816504,-0.0005440756246539724
1.25,-0.047241664047977375,0.05393628423425899,0.0021061557184275472,0.008966029888514773,-0.0007277751746578298
1.26,-0.046704473648308514,0.0535001193699907,0.002192704745991408,0.00835530311964619,-0.0008200394932541544
1.27,-0.046171718099107244,0.0530507479471109,0.0022731829994973238,0.007767519538130123,-0.0009422279566440039
1.28,-0.0456435263230741,0.05258706429003644,0.0023477915901800126,0.007175410607676977,-0.0008220969595141847
1.29,-0.04512001753783182,0.05211278145235851,0.0024167206795258763,0.006612383980011156,-0.0007963591720235863
1.3,-0.04460130040660508,0.051628690670450055,0.0024801644968233624,0.006075762750753036,-0.0008399888591195115
1.31,-0.04408747376245684,0.05113491467971013,0.0025383166505674373,0.005554948133488839,-0.0008487232300803393
1.32,-0.04357862729602225,0.05063296024845343,0.002591365854118703,0.005057071815318404,-0.0008963817093257109
1.33,-0.04307484154073368,0.05012335409326473,0.002639500385690667,0.004577439785304354,-0.0009383500506340292
1.34,-0.04257618843880944,0.04960699158865513,0.002682905237007889,0.004116385904756793,-0.000980634133109115
1.35,-0.04208273150994539,0.04908400571683103,0.0027217641721692418,0.0036651278938965794,-0.0009379557026507612
1.36,-0.04159452661479721,0.048556441143519515,0.0027562542916158487,0.0032391872852178026,-0.0009689966166935848
1.37,-0.041111621621729044,0.0480240219159757,0.002786554241787526,0.0028254788269646974,-0.000945600820742909
1.3800000000000001,-0.04063405732572806,0.04748789049277285,0.0028128367057904252,0.0024290417828774177,-0.0009215554088568556
1.3900000000000001,-0.04016186754933503,0.04694920832492617,0.002835271049150986,0.0020555399833074,-0.0009570231360240822
1.4000000000000001,-0.039695079294808325,0.04640812407424246,0.0028540252527234603,0.0016983571170787937,-0.0009890736456018567
1.41,-0.039233713266638416,0.04586513144177498,0.0028692631414051787,0.0013555620949791663,-0.001001863132797487
1.42,-0.03877778411634189,0.04532071292137317,0.002881145007501839,0.00102544816096101,-0.0009818726617398799
1.43,-0.038327300825029505,0.04477590158675097,0.002889826433205238,0.0007135473164827488,-0.000988264034512687
1.44,-0.03788226677020747,0.044230889010310276,0.0028954609798919353,0.00041522110859245156,-0.0009782254021333259
1.45,-0.037442680213882314,0.04368634783998058,0.0028981975294692028,0.00013218471060562115,-0.0009727263009254861
1.46,-0.037008534493326355,0.04314291793240458,0.00289818125973292,-0.00013392477306884405,-0.0009919875488575425
1.47,-0.03657981821002083,0.04260072785680349,0.002895554558846652,-0.000387537946771383,-0.0009953862085948506
1.48,-0.036156515639665834,0.04206036351495753,0.0028904550921011263,-0.0006270537715313454,-0.0010028245257934776
1.49,-0.03573860685920717,0.041522091579405784,0.002883017321100305,-0.0008545551503442388,-0.0009972582423642962
1.5,-0.03532606808147735,0.0409864448101918,0.002873371342529988,-0.001068500961230104,-0.0009980006752297044
1.51,-0.034918871787049686,0.040453569899239775,0.002861644176388556,-0.0012718865904948417,-0.0009788517480560088
1.52,-0.034516987034941486,0.03992375466236357,0.0028479587331879485,-0.0014656625311151306,-0.0009341142393943791
1.53,-0.03412037974122928,0.039397798360098504,0.0028324330969971474,-0.001644113860634857,-0.0009249394681124512
1.54,-0.03372901273019831,0.03887598740924846,0.0028151825668438807,-0.0018076723981861004,-0.0009507938184967202
1.55,-0.03334284595542048,0.03835819291316729,0.002796319489429497,-0.0019617060010887117,-0.0009615988939758457
1.56,-0.03296183684051225,0.037844771307663706,0.002775951511806819,-0.0021052688004274786,-0.0009705809714060099
1.57,-0.032585940337431306,0.037335720718808335,0.002754183281457327,-0.002241655089840884,-0.0009483929157643178
1.58,-0.03221510932509118,0.036832036743197086,0.0027311138097447798,-0.0023614601985947983,-0.000993038353748199
1.59,-0.031849294264592945,0.03633240360588016,0.002706843045936481,-0.0024839493810235504,-0.0009148671515878393
1.6,-0.031488444165287025,0.03583823008133977,0.0026814619849284556,-0.0025941164833444743,-0.0008679809519107629
1.61,-0.03113250614800061,0.03534984294475942,0.0026550602307047855,-0.0026902739953807192,-0.0008728203798550327
1.62,-0.030781425686224426,0.034867015614962395,0.002627725006567424,-0.002777452787831304,-0.0008823739749609372
1.6300000000000001,-0.030435146879047796,0.03438973857579171,0.0025995396909998035,-0.002857779480954483,-0.0008787069199425179
1.6400000000000001,-0.03009361263002542,0.03391843397144189,0.002570583453122021,-0.0029278015506373563,-0.0008997923576838374
1.6500000000000001,-0.029756764593442855,0.033452736210190986,0.0025409337207100615,-0.0029937372973390507,-0.000886525961862672
1.6600000000000001,-0.02942454361590747,0.03299344797242403,0.002510662382996467,-0.0030470329008349087,-0.0009279284928588316
1.67,-0.029096889297381447,0.03253895686079373,0.0024798429282906938,-0.0031091616948322443,-0.0008117308190815908
1.68,-0.02877374107606025,0.032091339746842265,0.002448538462651086,-0.0031553264099279045,-0.0007897692772712572
1.69,-0.028455037355241596,0.03165010219479625,0.0024168141345157854,-0.0031927236701431833,-0.0007928577706989848
1.7,-0.02814071607555695,0.031215106799109167,0.0023847314244141216,-0.003223946270353744,-0.0007979243633829403
1.71,-0.027830714783355706,0.03078634455506329,0.0023523486665555627,-0.003249847607085236,-0.0007992752436181694
